Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
"""A"" Street Station (Grocery)",2800 E A St  Pasco WA 99301,"""A"" Street Station,2800 E A St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.2265574,-119.073455
3 Pueblos Meat Market (Store),1212 N 4th Ave  Pasco WA 99301,"3 Pueblos Meat Market, 1212 N 4th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),,46.2386807,-119.0952986
"A & A Mini Mart, LLC (Store)",919 W Court St  Pasco WA 99301,"A & A Mini Mart,LLC ,919 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),,14.8971921,100.83273
AFC Sushi @ Fred Meyer #163 (HACCP),2811 W 10th Ave  Kennewick WA 99336,"Fred Meyer, 2811 W 10th Ave  Kennewick WA 99336",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Food Service,46.197076949999996,-119.16158102413522
AFC Sushi @ Fred Meyer #286 (HACCP),101  Wellsian Way  Richland WA 99352,"Fred Meyer, 101  Wellsian Way  Richland WA 99352",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Food Service,46.2607747,-119.28526158203603
AFC Sushi @ Safeway #0252 (HACCP),690  Gage Blvd  Richland WA 99352,"Safeway, 690  Gage Blvd  Richland WA 99352",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Food Service,46.22744838852586,-119.27988998461412
AFC Sushi @ Safeway #3253 (HACCP),5204 W Clearwater Ave  Kennewick WA 99336,"Safeway, 5204 W Clearwater Ave  Kennewick WA 99336",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Food Service,46.2138661,-119.192693
AFC Sushi @ Safeway #333 (HACCP),1803  George Washington Way  Richland WA 99354,"Safeway,1803  George Washington Way  Richland WA 99354",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Food Service,46.2995078,-119.27589754745952
Albasha Market (Store),3509 W Clearwater Ave  Kennewick WA 99336,"Albasha Market ,3509 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),,46.212238,-119.16964591963718
Albertson's #228 (Store),1330 N 20th Ave  Pasco WA 99301,"Albertson's  ,1330 N 20th Ave  Pasco WA 99301",10+ Registers (Grocery),Permitted,(Grocery),(Store),,46.241092787234045,-119.11750768085106
Albertson's #3253 (Store/Produce),5204 W Clearwater Ave  Kennewick WA 99336,"Albertson's  ,5204 W Clearwater Ave  Kennewick WA 99336",5-9 Registers (Grocery),Permitted,(Grocery),(Store/Produce),,46.2138661,-119.192693
